id,question,concept,true_answer,wrong1,wrong2,wrong3
n/a,"Dogs can not tell the color, dogs",n/a,have difficulties in learning understand the traffic lights.,have difficulties in learning recognize their owner,have difficulties in learning wag their tails,have difficulties in learning feed their children
n/a,"Barry's nails are really long. Barry,",n/a,cuts his nails.,buys a hammer and nails.,nails his hammer to nails.,gets a hammer.
n/a,Alice is going for a run. John is cooking. She,n/a,puts on her gym shorts.,reads the newspaper.,starts the soup.,cuts the vegetables.
n/a,A toddler utters her first words in front of her adoring parents. She,n/a,then giggles gleefully.,plans to become a motivational speaker next.,berates them for their parenting ideology.,is ten years old.
n/a,I have to go to the dining hall. I,n/a,haven't eaten because I had to finish my test.,am full.,like buying dining dollars.,prepared dinner for you.
n/a,The couple decided to go backpacking. They,n/a,bought a small tent.,bought a sports car.,bought some school supplies.,bought a rocket ship.
n/a,"I like to take a walk after supper, but it's raining outside. So I decide to",n/a,stay at home.,wash my hands.,go out for a walk.,lock the door.
n/a,Mary cooked bacon for breakfast. Eating bacon was,n/a,the perfect way to kickoff her day,brown,the best crispy snack she could ask for in the afternoon,hot
n/a,A person keeps beating a dead horse. The person,n/a,would not let a bad idea go,uses a bat to do the deed,is getting annoying,is a cruel sadistic individual
n/a,"According to all known laws of aviation, there is no way that a bee should be able to fly. The bee",n/a,"of course, flies anyway.",laments its fate by drowning its sorrows in alcohol.,does away with the institution of flight through democracy.,contacts its representatives to change the laws of aviation.
n/a,A paper was reviewed thoroughly and the reviews were negative. The paper,n/a,was rejected.,was published.,was the best paper.,was accepted.
n/a,Dan was a sitting duck in this scenario. Dan,n/a,was in danger,was a duck that was sitting,decided to become a duck and sit on the ground,quacked sometimes
n/a,Kieran went to swim. He,n/a,is very athletic.,likes to swim in a fishtank.,swims in the dessert.,swims in an airplane.
n/a,"Cory is happy he is getting married. Right after, he is",n/a,going on his honeymoon,sad he got married,getting married again because he is happy,deciding to file a divorce
n/a,"I am a tiny, black animal with 6 legs. I am",n/a,a beetle,a cat,an ipad,a dog
n/a,"After having a severe allergic reaction to peanuts, Gerald",n/a,decided to foreswear peanuts.,visited a tailor.,purchased peanuts for friends and family.,kicked his neighbor's cat.
n/a,Tina is bad at mathematics. Tina,n/a,plans to practice more.,teaches other students mathematics,represents her school to join the mathematics competition.,is happy.
n/a,The boy started to feel very sleepy. He told his mom that,n/a,he was going to hit the hay.,he needed a new shirt.,he was going to play with the dog.,he was going to make some pasta.
n/a,"Joe thought that Moe was serious, but Moe was pulling his leg. Moe",n/a,played a prank on Joe.,veered left into the passing lane.,instantly died.,wouldn't let go of Joe's leg.
n/a,The dean addresses the students from the podium. The dean,n/a,congratulates them.,signals to the podium to turn left.,tells the podium about the students.,addresses the podium.
n/a,When you add two in three then it will be,n/a,five.,four.,seven.,six.
n/a,My school's football team lost the conference championship. I,n/a,felt heartbroken.,left the conference room in a hurry.,ran 40 yards to score a touchdown.,am surprised by how tall basketball players are.
n/a,John is a professional swimmer and is swimming. He,n/a,did breaststroke,drank water,drowned,jumped in the water
n/a,"I love all animals, that is why",n/a,I like dogs.,I hate dogs.,I do not love dogs.,I hate cats.
n/a,The husband goes to work everyday while the wife is unemployed. The wife,n/a,stayed home to cook meals.,went to work.,supported the family with her salary.,enjoyed the health benefits of employment.
n/a,What is the difference between USA and USB? One of them,n/a,"connects to all your devices & accesses your data, and the other is a hardware standard.",is located in the Southern Hemisphere.,is based on the communist society popularized by the USSR.,was created by John Intel in 1336.
n/a,The steak was burnt. The chef,n/a,threw the steak away and started over.,ate the steak.,added some salt and pepper.,kept cooking it for another hour.
n/a,Cheetahs run faster than ducks. This is because,n/a,they have aerodynamic bodies.,they have legs.,they have waterproof feathers.,they can swim very fast.
n/a,My friend hits a very hard shot playing tennis. He,n/a,is proud of the shot and I congratulate him.,stops playing tennis.,gets really mad about it.,says sorry about doing that.
n/a,"On a foggy overcast day, a cat sits on the couch, staring through the window at",n/a,the man outside.,the moon in the sky.,the tornado coming home from work.,the cats dancing outside.
n/a,"While Nancy and Ellen counted the silverware, Mrs. Smith hastened upstairs. In a few minutes she returned and one look at her stricken face told the girls",n/a,that the precious map was gone.,to dance the pain away,that she was hungry,to call Mrs. Smith
n/a,The guy's roommate left the toilet seat up for the tenth time. The guy,n/a,yelled at him,found the seat for the roommate,brought the toilet to the roommate,sat down
n/a,Jimmy noticed that the water in the pot on the stove was beginning to boil. Jimmy,n/a,walked to the stove to turn down the heat.,put the fire out with a hose.,put his shoe into the flame.,dipped his fingers into the pot.
n/a,"The engineering students desperately needed bolts. To get them,",n/a,they went to the store.,they ran quickly.,the students studied hard.,they went outside during a thunderstorm.
n/a,Louis Vuitton is presenting its Spring/Summer 2019 collection on the runway. The designer,n/a,is preparing for the presentation.,is reading the newspaper.,is having lunch with the models.,is drawing some new designs.
n/a,An elderly man is sitting with his grandchildren at the dining table. He,n/a,remembers the feeling of being young with fondness.,is too young to understand the importance of family.,is learning arithmetic in elementary school.,begins crying for his parents to feed him.
n/a,It was difficult hearing the professor talk in the classroom. All of the students were,n/a,talking loudly about their tests they had just gotten back.,focusing on the professor.,sitting quietly and listening.,talking too quietly.
n/a,Rose has eight children and she loves them dearly. She has,n/a,four boys and four girls.,a boy and a girl.,three boys and a girl.,two boys and three girls.
n/a,The family gathers around their Christmas tree. They,n/a,turn on the lights.,feed Santa's reindeer some candy canes.,catch Santa eating cookies.,are celebrating Hanukkah.
n/a,Dan plays Dodgeball. Dan,n/a,gets hit and is out,loses the keys to his Dodge truck,eats dog food,wins the state spelling bee
n/a,Maddie sits with her legs folded. Maddie,n/a,is in a yoga class.,is folding her laundry.,then flies to the moon.,makes her clothes neat by folding them.
n/a,A woman owns five cats and five dogs. She,n/a,needs to feed all ten pets everyday.,needs to feed all five pets everyday.,"does not need to feed her pets, as they prefer to eat each other.",needs to feed both pets everyday.
n/a,John was a good student. John,n/a,studied hard.,played hard.,never goes to class.,likes to play video games.
n/a,A man sits at a restaurant. He wonders,n/a,if he has been stood up.,how often seagulls migrate.,what the sidewalk would taste like.,what day it is.
n/a,"When my parents died, I was not earning enough to keep myself or my crippled sister Nelly, and without our kind mistress, we would have gone to the poorhouse. Nelly calls her",n/a,her angel and she has good right to do so.,bad names because of what she did to her.,the biggest loser of the century,a weird person
n/a,Kelly told me that everything will work out in the end. She,n/a,is very sweet.,goes to gym very often.,is a workaholic.,is tired.
n/a,A loving couple is kissing each other. The girl,n/a,holds the boy's hands,is eating happily,becomes zombie,hugs the tree
n/a,She coordinates events often. She,n/a,is a wedding planner.,is a point in the Cartesian plane.,is confused by latitude and longitude.,drew a line on the graph.
n/a,Kim is going through depression. He is,n/a,probably sad,happy,skipping all of his classes,breaking up with his dad
n/a,A salesperson is selling a car. He,n/a,is really good at what he does.,talks about the heated steering wheel and how no idiot would buy the car.,describes all the amazing features while blowing up the car.,"talks about a discount, negotiates with the buyer, and steals the car."
n/a,A woman is sitting at a table.  She,n/a,is eating dinner.,breaks the table using human hair.,flies the airplane into the ground.,is not sitting at a table.
n/a,The nurse picks up the syringe. The nurse,n/a,tries to calm the screaming child.,sprint away.,puts the shot in her leg.,drops onto a couch.
n/a,A group of friends stranded on an island shiver during a cold night. They,n/a,huddle around a fire to keep warm,burn the American flag to keep warm,drink cold drinks and surf waves all night,do backflips to pass the time
n/a,The girl's dad is mowing the lawn. He,n/a,thinks she should help her.,hits a squirrel with the mower.,wants to run her over.,is setting the lawn on fire.
n/a,"After cheating on his spelling test, Johnny just got a slap on the wrist. Johnny",n/a,had a very mild punishment.,had a bleeding wrist.,had to see the nurse.,was great at spelling.
n/a,"Mary is tired. Mary,",n/a,goes to Starbucks.,calls dog tired Mary.,changes the tires on her car.,tired Mary dog eats Mary.
n/a,Monica couldn't wrap her head around calculus. She,n/a,didn't understand math.,couldn't package her brain inside a textbook.,was good with numbers.,covered her head with a towel.
n/a,Tom was making a mountain out of a molehill regarding a small argument. Tom,n/a,was turning an unimportant argument into a big deal.,was arguing about a large hill on his lawn.,was staying calm about an argument.,hated moles in the hill he lives next to.
n/a,I broke my leg playing soccer. I,n/a,got an x-ray and cast,played the rest of the season,got a tattoo,ran away cheering
n/a,The man was at the airport and found out that his bag was over the allowed weight. He should,n/a,remove items from his bag.,changed the allowed weight to a higher number.,walk to his final destination.,cancel his trip.
n/a,There are lots of jobs if you graduated in computer science. I will be graduating in computer science this year so,n/a,I will have a job.,I will not have any job.,I will not have a computer science job.,I will not have a life.
n/a,My latte is too hot to drink. I,n/a,will wait until it cools.,will get a watch.,set money on fire.,will go to California.
n/a,"While the woman cooked, her son sat in the living room. The son",n/a,watched his favorite tv show,cooked a new recipe,put the food in the oven,opened the refrigerator
n/a,I never understood why people get addicted to smoking. I,n/a,never liked it.,wish I was addicted.,wash my hands.,love it.
n/a,A bird is sitting on a branch. It,n/a,is of a beautiful blue color.,"stares at its talons, orders pancakes from IHOP, and disintegrates on the branch.","tweets and sings, lights bird seed on fire, and snaps the branch.","flaps its wings, recites Hamlet, and flies away from the branch."
n/a,Dilip is an ambitious man. His dreams,n/a,know no bounds.,took a crazy direction,consist of potatoes,haunt him
n/a,A girl lives in Paris right now and she wants to go to Berlin for a concert. I suggest,n/a,her taking a flight there.,her moving there.,her riding a bike there.,her walking there.
n/a,"Because the paper includes many terms of art, it",n/a,is less accessible to laymen.,is the terms & conditions of the website.,is a good canvas for painting.,is an artistic masterpiece.
n/a,The man wears a suit for his interview. He feels,n/a,well dressed,like he is wearing a tight dress,like he is about to cry,tired
n/a,"In the football game, the quarterback took the snap from the center. He",n/a,dropped back and scanned the field,threw a penalty flag,ran all the way out of bounds,sat down in the grass
n/a,A magician performs his next magic trick. He,n/a,pulls a rabbit out of a hat,points to New Zealand on a map,guesses each audience member's social security number,pours magic gasoline on the venue and sets it ablaze with a mystical lighter
n/a,A bug that is covertly planted is,n/a,a wire.,an insect.,a glitch.,a virus.
n/a,A cat rests on the shelf. It,n/a,stretches as it wakes from its nap.,"purrs softly, tells its owner to buy more Meow Mix, and floats off the shelf.",wags its tail and begins to eat the shelf.,"is composed of living, breathing catnip that is sitting on the shelf."
n/a,A man wears a dress. He,n/a,is in drag.,is interested in studying biology.,wishes to find true love.,will apply to graduate school next fall.
n/a,Sage likes cooking but is bad at it. She should,n/a,practice cooking more,never cook again then,quit cooking early and find something she is good at,pay someone to cook all her meals for the rest of her life
n/a,Timmy had many empty boxes. He,n/a,built a fort with the boxes.,opened and closed them several times.,ate them for dinner.,filled the boxes with fire.
n/a,The dancer reluctantly takes the stage as a song begins to play. The dancer,n/a,has stage fright.,is eating her lunch.,takes a nap.,loves the dance.
n/a,The kid was next up at the spelling bee. He,n/a,was sweating,flew away,got some honey,got stung
n/a,"Unlike noodles, pizza tastes good. I",n/a,like pizza.,like noodles.,do not like pizza.,never tasted pizza.
n/a,California wildfires have gotten out of control in 2018. The fires are a result of,n/a,global shifts in temperatures.,Californian celebrity diets.,California's 2018 decision to legalize marijuana,they named their new hockey team the Wildfires.
n/a,I tried to teach my gecko how to program so that she could do my EECS 349 homework for me. She,n/a,crawled all over my laptop.,"passed some of the coding tests, but not all of them.",told me that I should do my own homework.,successfully finished my coding homework.
n/a,"A mom decided to surprise her son with a birthday cake for his birthday. To prepare, she",n/a,found a recipe and cleaned off the counter.,put on her swimsuit and applied sunscreen.,threw the tennis ball back to him.,drove to Best Buy to pick up her new TV.
n/a,A women is holding a baby in the park. An old lady,n/a,smiles at them.,wants to take the baby away.,talks to her son to have a baby right now.,is bathing the sun in the park.
n/a,the whale was grateful for the fisherman for removing a harpoon from its body. The whale,n/a,"swims around the boat, occasionally surfacing","stabs the fisherman with the harpoon and screams ""Boo-Yah""",waves at the harpoon for removing the fisherman,swims away with the harpoon
n/a,I like to knit. I,n/a,made a hat.,played my needles.,knitted a ball of yarn,broke a hat.
n/a,Someone is going up the stairs. They,n/a,trip on the second step.,break the railing.,make the stairs into a ramp.,"don't know how to use stairs, only elevators."
n/a,Rose sees a car driving along the street. She,n/a,wonders where it is going.,signals a left turn.,changes lanes.,stops at the stop sign.
n/a,The smith had an old and rusty knife. The smith,n/a,sharpened it with a whetstone.,put it onto the stove.,polished it with some peanut butter.,cut some vegetables with it.
n/a,It is raining outside. I,n/a,will stay at home.,like the weather.,don’t need the umbrella outside.,will go to the playground.
n/a,"Realizing that his wife was under the weather, Steve",n/a,helped her to feel better.,contacted the local meteorologist.,"decided to get a new, better wife.",sought revenge against the clouds.
n/a,one plus six is,n/a,seven,eight,one,six
n/a,A man in a chef's coat is standing in a kitchen talking to the camera. A pancake,n/a,is shown with syrup being poured on it.,is covered with candles in front of a large kitchen.,is played in a kitchen sink.,appears in a pan next to the dog.
n/a,"I used to love driving cars but last year I had a near fatal accident. Since then,",n/a,I haven't driven a car.,I drive faster.,I don't care.,I like driving cars.
n/a,"Joe was taking a test, and he was really in a pickle. He",n/a,was in a great deal of trouble.,leaped through the air and caught a frisbee in his mouth.,climbed out of the pickled cucumber.,went shopping.
n/a,My friend recently got his vasectomy done. He,n/a,was willing to take this responsibility for his family,started working out,was not confident about his choices earlier,caused a lot of pain to his loved ones
n/a,The padre was cajoling Anne to meet him at his place after the mass. He,n/a,had to be careful of anyone overhearing him,was inviting fairies over for a party,was an honest snake charmer,couldn't afford to lose his title
n/a,A man is running across a street. The man,n/a,The man is chasing his dog.,The man is looking at the traffic light.,The man is sleeping on the ground.,The man is sitting in a restaurant.
n/a,A boxer picks up his jump rope. The boxer,n/a,starts to jump.,kills his jump rope.,punches his opponent.,jumps on his opponent.
n/a,"My friend was having a tough time at school. I said hang in there,",n/a,you'll make it through,and keep hanging,and don't drop down,and untie the knot
n/a,The man puts on his jacket. The man,n/a,is trying not to freeze.,is looking for food in his fridge.,pets his dog.,is playing frisbee with his mouth.
n/a,"Sarah is pretty ugly, so she decided to",n/a,put on more makeup.,picked her nose.,paint her water bottle a shade of pink.,wash off her makeup.
n/a,"At the front door, someone takes out his tube of shrinking paste. Shaking his head skeptically, someone",n/a,twists the cap off the tube.,glances aside for the old kitchen.,offers his own cash.,opens it and takes out the spray bottle.
n/a,The people ran into a bar. They,n/a,had a bunch of drinks,fell over,made the bed,fell in love
n/a,"Thomas's friend is blind, so to have fun they will",n/a,listen to music.,watch the sunset.,go for a bike ride.,go to the movies.
n/a,A dog sits by the ocean. The dog,n/a,wags its tail.,applies sunscreen.,makes money.,teaches a class.
n/a,The boy loves playing basketball. He,n/a,didn’t expect to sprain his ankle last Friday.,got excited and aced the machine learning exam on Friday.,plays video games from morning to night and loves it.,becomes very good at playing the piano.
n/a,"He is taking a math exam in the classroom, he",n/a,tries his best to finish it.,plays the video game.,chats with his mother.,returns home.
n/a,A dog walks down the street. He,n/a,chases a squirrel.,sleeps at night.,waves hello to his neighbor.,considers his grocery list.
n/a,The dog is barking at Alex. Alex,n/a,doesn't seem afraid because he loves dogs.,is happy because he is afraid of dog.,likes to bark.,is barking at the dog.
n/a,The husband was unemployed and didn't go to work. The husband,n/a,stayed at home to cook meals.,went to work.,supported the family with his salary.,enjoyed the health benefits of employment.
n/a,Two elephants are behind a large fence in a zoo while people look on. The animals,n/a,look somewhat bored.,cheer for the elephants to start running.,are deep within the African jungle.,elevate for a spectacular reverse dunk.
n/a,The fox jumps over the dogs. The fox,n/a,runs away.,punches the woods.,eats a tree.,picks up the dogs.
n/a,there are some big countries like china and,n/a,usa,beijing,korea,chongqing
n/a,"There are so many excellent software companies, such as Facebook, Microsoft, Twitter, and",n/a,Yelp,Microsoft,Facebook,Twitter
n/a,"One of the major ways that dogs and cats tend to differ is in their attitude toward taking baths. We think of dogs as being pretty cool about baths, and cats as",n/a,hating them,being pretty cool about baths,differing,loving them
n/a,The bear caught a fish from the stream. The bear,n/a,took the fish back to its cubs.,lit a fire to cook the fish.,left the fish on the bank of the stream.,threw the fish back into the stream.
n/a,U.S. government attempts to quantify the costs and benefits of protecting the country’s bodies of water are likely undervaluing healthy lakes and rivers. U.S. government,n/a,failed to evaluate healthy lakes and rivers.,spent money on protecting the country's bodies of water.,undervalue the cost of protecting the country's bodies of water.,likes healthy lakes and rivers
n/a,A dog is sitting on the ground next to the words Dog Training. A dog,n/a,"is seen lying on the living room floor, running in his sleep.",runs out and comes onto several stairs.,is walking in a large dog.,hops up and grabs her dog off while a woman right behind her.
n/a,The test tube held the remnants of the debris of the experiment. The test tube,n/a,was cleared of the remnants with filtering.,"awaits the arrival of Elon Musk's new business, which promises to transport riders via an underground tube at high speeds but has yet to be rigorously tested.",went to the church later that week.,"fell down the mountain, since it was unable to ski well."
n/a,A man is buying a banana at the market. He,n/a,looks for his credit card.,reads a newspaper.,gives the cashier ten million dollars.,grows a banana tree from his ears.
n/a,The family eats dinner together in the dining room. They,n/a,pass each dish to each other.,pass the dishes around the kitchen island.,put their dishes in the dishwasher before eating.,want to say a prayer to express their dislike of the food.
n/a,He dribbles the basketball carelessly. An opposing player,n/a,steals the ball.,trips and falls.,tackles him.,dives.
n/a,John is polyamorous. John,n/a,juggles multiple lovers.,thinks love is madness.,loves only one person.,never cheats on his wife.
n/a,Steph likes everything about Northwestern University. Steph,n/a,enjoys his classes.,wants to buy the university.,eats so much food.,is always hungry.
n/a,Adidas is offering promotions today only. The customers,n/a,are searching through their store.,are driving to Los Angeles.,are talking to each other.,are planning dinner together.
n/a,I used a telescope to see,n/a,something far away.,a lens.,under the planet’s surface.,something that is close.
n/a,Jim stole Kelly's thunder during the presentation. Jim,n/a,took credit for something he didn't do.,was afraid of lightning.,shocked everyone by baking a cake.,zapped Kelly.
n/a,"The boy loves Chinese food, not Indian food. He",n/a,orders Chinese food often.,likes eating Indian food with Indian friends.,likes Indian curry a lot.,eats a lot of Indian food.
n/a,"The plane was taxiing on the runway. Inside, the woman",n/a,fastened her seatbelt.,pontificated on the merits of veganism.,took out her can of spray paint.,began her avionics experiment.
n/a,I bought a new computer. It,n/a,runs really fast.,is an evil computer.,told me to go buy another computer.,started doing my homework for me.
n/a,A man wanted to make peace with his brother. He,n/a,apologized for everything he had said.,dug a hole in the backyard.,started to look for a shovel.,bought a tomahawk.
n/a,He drove away from his childhood home to begin his,n/a,new career.,life on Mars.,road trip to his childhood home.,pancake.
n/a,"I did not get a job I wanted, but I think it was a blessing in disguise. I",n/a,realized the company is dying.,received the job.,went to the office.,dressed up for Halloween.
n/a,A mom takes her sons to a movie. They will most likely not see,n/a,an R-rated movie.,a G-rated movie.,a PG-rated movie.,a movie about superheroes.
n/a,A man gets pumped up to do a long jump then does it. Others,n/a,do a routine in the field.,look at him in awe and rush to their homes feeling hungry.,prance around as others follow them.,"maneuver three legs up, then flip over the trampoline, using kicks and feet from doing together."
n/a,A chemistry lab technician is doctoring some test results. He,n/a,is caught by his supervisor and fired.,passes the test with an A+.,tests the uranium for viruses.,successfully saves the patient's life.
n/a,Roger Federer walks into the tennis court for the one last time. We,n/a,won't see him playing next year.,expect him to lose his last match.,won't see his match.,will see him next year too.
n/a,A man is walking a dog and carrying a cat. He,n/a,puts both animals in the back seat of a car.,puts the three animals in the back seat of a car.,puts the four animals in the back seat of a car.,puts the animal in the back seat of a car.
n/a,"Diego hates animals. Unfortunately for him, his family",n/a,planned a trip to the zoo.,made him eat meat.,decided to ground him.,planned a trip to the museum.
n/a,"I don't have a curtain in my living room, so every morning I am waken up by",n/a,the sunlight.,the curtain.,the window.,the clock.
n/a,You want to drink at a party but aren't of age yet. You should,n/a,wait until you're of age,drink modestly,drink at the next party then,drink because you want to
n/a,The boy came home crying. The boy,n/a,bombed a test.,donates to charity often.,made lots of friends.,had a fun day at school.
n/a,I just got my new smart phone and love it. Whenever I make a call,n/a,I can cancel it from my smartwatch if I want.,I cannot connect to the network.,I spin the dial to find each number.,a dog picks up the phone.
n/a,Ted decided to get a rain check on his date. He,n/a,called to postpone the date.,ran to the gas station to get a lotto ticket.,asked his boss if he could go to the skate park.,cashed the check at the bank that afternoon.
n/a,Kelly whipped out her card. She,n/a,paid her bill.,was making a cake.,was riding a horse.,loves whipped cream.
n/a,Jake and Ashley fights every day about Jake's ex girlfriend Martha. Ashley,n/a,wants to end the relationship with Jake.,wants to break up with Martha.,is Martha's friend.,likes fighting with Martha.
n/a,Alex would often play devil's advocate. He,n/a,argued the opposite side of many arguments.,took up knitting.,was a serial killer.,thought that Satan was correct about a lot of things.
n/a,John is visiting Mike's house. Mike,n/a,opens the door.,goes to John's house.,drives away.,rings the doorbell.
n/a,"An English teacher, Mary, got sick yesterday. Today she",n/a,stays home from school.,breaks one stone into pieces using a basketball.,takes her dog to see a veterinarian,goes to see the ill tiger in the zoo that is near a famous hospital.
n/a,Kelly has got an eye for art. She,n/a,paints a lot of paintings herself.,has perfect eyesight.,has blue eyes.,wears glasses.
n/a,"John, a runner, had always avoided cigarettes",n/a,because he wanted to remain in peak physical condition.,because brain cancer is life-threatening.,because John was afraid of putting things in his mouth.,because cigarettes can be expensive.
n/a,You didn't sleep at all the night before because you were studying for an exam. You should,n/a,make sure to get a good nights rest for today,treat yourself to a good meal,continue studying for the exam even if the exam is over,not sleep again tonight
n/a,Your girlfriend just broke up with you and you are heartbroken. You should,n/a,take time to heal,drink a lot to feel better,eat a lot of food so you are happy,go to a club to meet someone else
n/a,She reads a digest of the news every morning. She,n/a,likes to stay up to date.,is a dietitian.,chews on the news and swallows it.,gets a stomachache when she eats oatmeal.
n/a,Joe said the chemical reaction was dangerous. This caused Bob to,n/a,put on protective gear.,instantly die.,binge-watch all of Jojo's Bizarre Adventure in only a week.,think about his marriage.
n/a,Larry has 6 apples and gives half to Chris. Chris,n/a,has 3 apples.,has 5 apples.,has 2 apples.,has half an apple.
n/a,A passenger walks onto an airplane to China. He,n/a,lands in Xian 12 hours later,lands in Tokyo 15 hours later,does tricks in the air to entertain passersby,lands in Gwangju 10 hours later
n/a,"After crying for hours, Martha wanted",n/a,to dry her eyes.,to visit Neptune.,to slap children.,to drink her own tears.
n/a,Forrest can't stand people who cheat. That's why it's so hypocritical that,n/a,he copied his friend's answers.,he missed class today.,he didn't copy his friend's answers.,he studied all day.
n/a,A man is bending over a sink. He,n/a,is carrying a shaving machine with a pressure washer.,is trying to find the gem which fell from his ring.,"takes a rag from over the sink, putting it in his mouth.",is putting a pair of shaving glass on the side of his face.
n/a,"Once in a blue moon, the child",n/a,got to have a soda.,decided to turn the moon red.,landed on the moon.,became the night sky.
n/a,A banker counts his money. He,n/a,organizes the bills into stacks.,"eats it, opens a checking account, and regurgitates his money.","processes a deposit, kicks a chair over, and says he has no money.","worries about his financial situation, becomes a clown, and ends up with no money."
n/a,A herd of sheep moves across the farm. They,n/a,trod towards the river.,walk on two legs to the river.,walk on two legs slowly to the shepherd.,run backwards.
n/a,A programmer sits silently. He is,n/a,bottling up his anger.,bottling up ginger.,an anger.,a water bottle.
n/a,We are playing monopoly and it is my turn. I,n/a,roll the dice.,play my videogames.,dribble the ball and score.,curl up near the fire.
n/a,Evan is allergic to the fur of pets. Evan,n/a,cannot touch any kitties,has three dogs,has three cats,likes all kinds of pets
n/a,John wouldn't be caught dead doing that. He,n/a,hates that stuff,would be caught alive,be caught in a trap,would be killed
n/a,The father loves his daughter more than anything in the world. He,n/a,has strong paternal instincts.,loves chicken wings more.,does not have a daughter.,loves his wife more.
n/a,The puppy runs across the field. It,n/a,leaps for joy.,curls near a fire.,hits a home run.,swings at a ball.
n/a,Tommy threw his food in the trash. Tommy,n/a,was really disappointed in the food.,kept eating his food.,took out his rood.,is homeless.
n/a,The printer had received several print commands but had completely run out of ink. The printer,n/a,"needed to be attended to, if it was going to complete the requests sent to it.","was over three years old, with over 20,000 papers printed.",had worked wonders in the past on massive printing requests and continued doing so now.,continued printing papers with vibrant color.
n/a,Jimmy was beginning to feel a bit hungry. He,n/a,went to the store to get something to eat.,grabbed some food out of his wallet.,ate some finger jerky.,ate some food he printed out.
n/a,The man is at a party. He,n/a,downs four beers in ten seconds.,merges onto the freeway.,dances around the parking lot of Chili's.,purchases four beers at the store.
n/a,"Tom is concentrating on his homework, so he",n/a,does not want others to disturb him.,want to take a rest.,want to go out to play.,want to eat pizza.
n/a,The elephant cleans the mud off itself. The elephant,n/a,is clean.,breaks out into a dance.,buys a hotdog.,gets drunk.
n/a,A football game is in progress. A football player,n/a,passes the ball to a teammate,kicks the ball to practice,walked off the field,practices on the field
n/a,Jack dislikes basketball but he wants to keep exercising everyday. He,n/a,may prefer football or swimming instead.,breaks a stone into pieces with a basketball.,jumps from the ground floor to the fourth floor.,dislikes basketball and exercise.
n/a,"In an office building, a woman holds a cup of coffee and donut in one hand. With the other, she",n/a,picks off pieces of her snack and puts them into her mouth.,glances around the office to see if anyone is watching.,waves down a cab.,heads into the bedroom.
n/a,Karen begins hormone treatment. She,n/a,is transitioning.,thinks about becoming a small child.,plucks her eyebrows into thin little strips.,wants to begin classes this fall in order to study criminal justice.
n/a,8 divided by 2,n/a,four,ten,eight,two
n/a,Kieran is a puppy. Kieran,n/a,is five year's old.,is a giraffe.,digests metal.,is a robot.
n/a,"Ketchup dates back as far as 1600 AD, when sailors traveling to China discovered a sauce called ketsiap. It",n/a,was a sauce that was made out of soy or oysters and didn't contain tomatoes.,was easy to make ketchup boats during that time.,quickly changed ingredients to include sofa and toilet.,began the transformation to today's sweet potato in the late 1700s.
n/a,I bought a lottery ticket this morning at the gas station. I,n/a,need money for college.,use gas for my stove.,have a garden.,slept in until the afternoon.
n/a,A man loses consciousness as the doctor knocks him out to prepare for surgery. The man then,n/a,"wakes up, no longer having his wisdom teeth.",thanks the doctor for knocking him unconscious.,calls his mom to tell her that he will not be waking up.,calls his mom to tell her that he is knocked out.
n/a,Most household water is treated after use. The treated water,n/a,is returned to surface water systems.,removes all the waste and germs from our bodies,requirements have been estimated at around 50 liters per person per day.,can be used to throw on electrical appliances
n/a,I went ham on my bike this morning on my way to school. I,n/a,broke it.,will stop by the deli.,am a meat lover.,will grab a sandwich.
n/a,A natural disaster struck a town on a fault line. It was a,n/a,earthquake.,famine.,tsunami.,drought.
n/a,A child asks his parents for a pet monkey. The child,n/a,enjoys watching them at the zoo.,wants to pet cats and dogs at the park.,hates monkeys and pets.,is actually a pet monkey in disguise.
n/a,A man is running across a street. The man,n/a,The man is chasing his dog,The man is looking at the traffic light.,The man is sitting in a restaurant.,The man is sleeping.
n/a,I put a couple of mealworms into my gecko's food dish. The gecko,n/a,eats all of the worms.,yawns.,asks if I can put a couple more mealworms into her food dish.,complains that she is sick of eating mealworms.
n/a,"A hawk flies low over a field of grass, hunting for prey. The hawk",n/a,is suddenly attacked by a murder of crows.,inspects the field with a microscope.,burns the field.,is suddenly attacked by a mouse.
n/a,"Sachin is the best cricketer in the world, and Roger is the best tennis player ever. I like tennis a lot more than cricket. Hence, I like",n/a,Roger,Myself,Professor Doug,Sachin
n/a,I was at a baseball game last weekend. We,n/a,started a wave and watched it go around the crowd,saw an alligator smile.,yelled at all the bats flying around.,ate a birthday cake shaped like a hotdog.
n/a,A professor in math is answering a question. He,n/a,answers two could be divided by one plus one.,answers one could be divided by one plus one.,answers one could be divided by one minus one.,answers two could be divided by one minus one.
n/a,"After being repeatedly bludgeoned, John",n/a,developed a bruise.,thought about spaceships.,became a criminal.,wondered if he ought to change his name.
n/a,Ted decided to jump on the bandwagon and start listening to Taylor Swift. He,n/a,did not want to be left out of what everyone else was doing.,wanted to start going faster.,crouched down to prepare to jump.,ran after the bandwagon.
n/a,The Milky Way was born billions of years ago. The earth,n/a,is our home.,is a star.,is the center of the universe.,is a sun.
n/a,The artist was almost finished with his marble statue. The artist,n/a,began to polish the statue.,threw the statue down the stairs.,put acid onto the statue.,chiseled away rock carelessly.
n/a,There is a green plant on the table. The plant,n/a,is on a large ceramic pot.,kills a young bunny.,is carnivorous plant that eats insects.,has dark red leaves that stuns the man as he walks past it.
